# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 189.472 h/Mpc,
# number of wavenumbers equal to 637
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:t_g                    8:t_b                    9:t_cdm                 10:t_ur                  11:t_tot              
       3.718353465748e-04      -1.570117367651e+00      -1.177665774854e+00      -1.177666447630e+00      -1.570104960412e+00      -1.188975170346e+00       1.881535394006e-05       1.905143987326e-05       1.905165609283e-05       1.879994235212e-05       1.904239134319e-05 
       3.975085925723e-04      -1.572850438451e+00      -1.179739362314e+00      -1.179740217440e+00      -1.572834285452e+00      -1.191067867215e+00       2.146387848741e-05       2.177204475299e-05       2.177231593711e-05       2.144381676875e-05       2.176022545469e-05 
       4.247834979996e-04      -1.575953396190e+00      -1.182097181125e+00      -1.182098404826e+00      -1.575932184456e+00      -1.193447401116e+00       2.445941675321e-05       2.486087613886e-05       2.486128433502e-05       2.443316502717e-05       2.484552154792e-05 
       4.538177802962e-04      -1.579471017324e+00      -1.184775524234e+00      -1.184777014987e+00      -1.579443576145e+00      -1.196150074915e+00       2.785108611398e-05       2.837384752432e-05       2.837432665262e-05       2.781710346283e-05       2.835381402001e-05 
       4.847804449377e-04      -1.583469791074e+00      -1.187826694373e+00      -1.187828553026e+00      -1.583434238727e+00      -1.199228757899e+00       3.169517753437e-05       3.237542694784e-05       3.237601178021e-05       3.165115430182e-05       3.234932976417e-05 
       5.178510599038e-04      -1.588022402378e+00      -1.191308525266e+00      -1.191311042323e+00      -1.587976023310e+00      -1.202741857620e+00       3.605548874665e-05       3.694022604747e-05       3.694103300780e-05       3.599821152271e-05       3.690632121266e-05 
       5.532183878398e-04      -1.593207662345e+00      -1.195285307743e+00      -1.195288642693e+00      -1.593147271534e+00      -1.206753970242e+00       4.100339690594e-05       4.215438730875e-05       4.215546747382e-05       4.092897871102e-05       4.211030532250e-05 
       5.910782339041e-04      -1.599117644888e+00      -1.199832467825e+00      -1.199836809232e+00      -1.599039102350e+00      -1.211341014132e+00       4.661839752417e-05       4.811647997947e-05       4.811788248015e-05       4.652180816905e-05       4.805910609663e-05 
       6.316303850249e-04      -1.605854335802e+00      -1.205034743797e+00      -1.205040342741e+00      -1.605752248925e+00      -1.216588261146e+00       5.298787708925e-05       5.493866014286e-05       5.494046037827e-05       5.286257907599e-05       5.486393488677e-05 
       6.750745609842e-04      -1.613533164823e+00      -1.210989358619e+00      -1.210996622257e+00      -1.613400371111e+00      -1.222593566169e+00       6.020606910307e-05       6.274743879804e-05       6.274976982876e-05       6.004348127431e-05       6.265008941908e-05 
       7.216053758473e-04      -1.622282510391e+00      -1.217805946899e+00      -1.217815725203e+00      -1.622109155207e+00      -1.229467435738e+00       6.837262563685e-05       7.168404109185e-05       7.168721152336e-05       6.816124050036e-05       7.155730993207e-05 
       7.714064215132e-04      -1.632230393993e+00      -1.225600028069e+00      -1.225612619777e+00      -1.632005054330e+00      -1.237325278539e+00       7.758947336097e-05       8.190523761128e-05       8.190930040489e-05       7.731552815075e-05       8.174003689915e-05 
       8.246437268604e-04      -1.643520125496e+00      -1.234502096508e+00      -1.234518041980e+00      -1.643227776283e+00      -1.246298114159e+00       8.795818250097e-05       9.358150525640e-05       9.358658253336e-05       8.760385573431e-05       9.336611797513e-05 
       8.814589978991e-04      -1.656307011505e+00      -1.244655352337e+00      -1.244676744226e+00      -1.655926132281e+00      -1.256530689379e+00       9.957548145220e-05       1.068952219826e-04       1.069021173815e-04       9.911636444894e-05       1.066151232774e-04 
       9.419631766204e-04      -1.670729212569e+00      -1.256203461730e+00      -1.256231197113e+00      -1.670235226898e+00      -1.268165494223e+00       1.125247513531e-04       1.220411760894e-04       1.220500914892e-04       1.119323249037e-04       1.216770481078e-04 
       1.006230932013e-03      -1.686932868022e+00      -1.269301166518e+00      -1.269336914685e+00      -1.686293876387e+00      -1.281357570279e+00       1.268722423232e-04       1.392204823205e-04       1.392319278846e-04       1.261102690504e-04       1.387480053520e-04 
       1.074296682416e-03      -1.705055386078e+00      -1.284105816915e+00      -1.284152683590e+00      -1.704229795275e+00      -1.296264758104e+00       1.426587432740e-04       1.586379464773e-04       1.586529973226e-04       1.416813283148e-04       1.580268680566e-04 
       1.146152626855e-03      -1.725207294257e+00      -1.300771835634e+00      -1.300831886319e+00      -1.724146474101e+00      -1.313039278645e+00       1.598897907946e-04       1.805000284955e-04       1.805192300429e-04       1.586432356987e-04       1.797118976470e-04 
       1.221749044348e-03      -1.747491867626e+00      -1.319454202663e+00      -1.319532051584e+00      -1.746132878176e+00      -1.331836545672e+00       1.785320895978e-04       2.050069408777e-04       2.050318684271e-04       1.769495488212e-04       2.039950530554e-04 
       1.300996843579e-03      -1.771974897046e+00      -1.340298823961e+00      -1.340399450202e+00      -1.770242536521e+00      -1.352800311569e+00       1.985037580545e-04       2.323524887329e-04       2.323847607464e-04       1.965070576620e-04       2.310595066291e-04 
       1.383772069420e-03      -1.798684762410e+00      -1.363442340363e+00      -1.363569594303e+00      -1.796493192439e+00      -1.376063045571e+00       2.196692168359e-04       2.627198779609e-04       2.627604422489e-04       2.171708771426e-04       2.610756423991e-04 
       1.469921856686e-03      -1.827636020505e+00      -1.389011713175e+00      -1.389175873066e+00      -1.824876009738e+00      -1.401753471133e+00       2.418416813019e-04       2.962734345634e-04       2.963259926132e-04       2.387368877450e-04       2.941963937821e-04 
       1.559271205766e-03      -1.858781349777e+00      -1.417123531812e+00      -1.417331484556e+00      -1.855332022415e+00      -1.429980533082e+00       2.647729957578e-04       3.331686207353e-04       3.332351328311e-04       2.609483321125e-04       3.305603131642e-04 
       1.651629950110e-03      -1.892045206808e+00      -1.447880437363e+00      -1.448140213516e+00      -1.887767371379e+00      -1.460842460945e+00       2.881617137306e-04       3.735406191280e-04       3.736233133440e-04       2.834929521975e-04       3.702860162818e-04 
       1.746799373907e-03      -1.927328807865e+00      -1.481370347038e+00      -1.481697846094e+00      -1.922054660167e+00      -1.494427914657e+00       3.116564824676e-04       4.175027386619e-04       4.176072761452e-04       3.060044217769e-04       4.134716873369e-04 
       1.844578083652e-03      -1.964465638692e+00      -1.517668939471e+00      -1.518075845257e+00      -1.958016450753e+00      -1.530802004251e+00       3.348538796768e-04       4.651594427648e-04       4.652891763690e-04       3.280794500475e-04       4.602005867006e-04 
       1.944766900247e-03      -2.003276187595e+00      -1.556838992001e+00      -1.557341608966e+00      -1.995449683746e+00      -1.570024040967e+00       3.573121684910e-04       5.165927959970e-04       5.167528932027e-04       3.492720804440e-04       5.105362549266e-04 
       2.047172686846e-03      -2.043544837704e+00      -1.598931106743e+00      -1.599549137561e+00      -2.034118007431e+00      -1.612139500890e+00       3.785555546084e-04       5.718704857379e-04       5.720673094102e-04       3.691090405721e-04       5.645267078198e-04 
       2.151611143041e-03      -2.085018972273e+00      -1.643985909921e+00      -1.644738554234e+00      -2.073755028161e+00      -1.657179984787e+00       3.980837829907e-04       6.310491683529e-04       6.312884543735e-04       3.871019968697e-04       6.222070835434e-04 
       2.257908672078e-03      -2.127433446660e+00      -1.692033894453e+00      -1.692945493363e+00      -2.114075858691e+00      -1.705171454583e+00       4.153798391613e-04       6.941684816673e-04       6.944578837217e-04       4.027486816134e-04       6.835976247764e-04 
       2.365903467808e-03      -2.170498613209e+00      -1.743094589456e+00      -1.744193729887e+00      -2.154775251707e+00      -1.756127831811e+00       4.299236267782e-04       7.612582706019e-04       7.616069830408e-04       4.155529557076e-04       7.487088733556e-04 
       2.475445979787e-03      -2.213903283630e+00      -1.797183953038e+00      -1.798500029876e+00      -2.195534056586e+00      -1.810056216908e+00       4.411955417438e-04       8.323399541729e-04       8.327569594562e-04       4.250304945571e-04       8.175420357449e-04 
